id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.00117,0.41648,0.57470,0.27774,2.38995,0.00338,0.15955,6.67151,4.38663
2,0.00102,0.00468,5.60920,0.00014,1.05111,0.00310,0.00495,0.99919,0.00048
3,1.04349,0.00126,6.14901,0.05418,1.46998,0.94465,0.00047,4.47209,1.82893
4,0.17235,0.46623,0.15550,0.01894,0.07104,0.06646,0.08732,0.16980,0.30322
5,2.05129,0.42597,0.21061,0.06506,4.76133,8.28313,0.00371,1.76465,2.70345
6,0.00025,0.94831,0.21507,0.02273,0.00208,0.00295,0.00584,0.00622,0.00092
7,1.60642,0.90025,0.18210,0.02124,7.61979,1.50026,3.56110,1.34864,4.35398
8,7.97298,0.73876,0.02627,0.01486,9.28946,2.90736,1.01791,1.42662,5.49825
9,7.88149,0.34838,0.40628,0.01430,8.70115,0.00048,0.01942,3.63412,2.69721
10,0.00012,0.21409,0.19081,0.04507,2.14747,0.00069,0.00156,0.00050,0.00152
11,0.11024,0.03752,0.00188,0.00445,8.29649,0.54086,0.02632,0.01359,0.18080
12,0.00963,0.00157,0.00350,0.01337,3.18842,0.01568,0.00176,0.98805,0.03140
13,0.00288,0.67891,0.45146,0.00413,0.00111,0.02706,0.01855,0.07158,0.00102
14,0.00395,0.00103,0.00075,1.48122,1.09454,0.01155,0.13551,0.95648,0.00224
15,0.00030,0.02067,0.01423,0.00267,0.99999,0.00165,0.00113,0.00074,0.00025
16,5.85640,0.00151,0.00026,0.00146,1.11386,0.12831,0.87083,0.00011,3.15474
17,0.00073,0.00299,0.04657,0.00017,7.44406,0.97802,0.00343,0.00312,0.00568
18,0.00248,0.28063,0.15046,0.04024,0.00152,0.01797,0.00664,0.00511,0.01597
19,0.01061,0.54010,0.13195,0.01849,0.00754,0.00576,0.00633,0.04060,0.01793
20,1.34287,0.59759,0.31889,0.22305,1.61463,1.38077,0.00024,1.60246,3.17251
21,0.00293,2.60683,3.17393,7.19218,8.46380,0.98061,0.00047,6.50375,0.00214
22,0.00549,0.00065,1.70490,1.40535,4.32472,0.99916,0.02932,0.00031,0.00024
23,0.00012,0.67988,0.71425,0.00025,0.00136,0.01047,0.00176,0.02325,2.09157
24,2.50673,1.08076,2.18722,1.14662,3.33442,5.38193,0.00428,0.99549,2.35293
25,0.00210,0.00021,2.70631,0.00435,6.68714,0.99890,0.00495,0.00052,0.00025
26,1.41622,0.39681,0.27956,0.01389,6.88530,2.13576,5.37808,1.27218,1.69824
27,0.26063,0.11106,0.00340,0.00542,1.22165,0.16341,0.04101,0.24919,0.09902
28,0.06005,0.61703,0.16171,0.06348,0.02047,0.06971,0.08146,0.10086,0.13531
29,0.00017,7.53370,0.00174,3.66713,1.19710,0.00304,0.99988,1.39437,4.62337
30,0.00062,0.54980,0.35274,0.12421,6.66651,0.00454,0.01908,0.00446,0.00213
31,0.00766,0.03226,0.01738,0.00252,6.50771,0.98937,0.02827,0.00344,0.00524
32,3.88744,0.03205,0.02744,5.56245,1.25295,0.00035,0.34039,0.99919,8.65797
33,0.00255,0.01958,0.00566,0.00096,0.99999,0.00150,0.00203,0.00103,0.00236
34,0.01188,0.15826,0.02242,0.10880,0.08214,0.03511,0.01360,0.04621,0.02941
35,0.02246,0.66735,0.22357,0.09388,0.01019,0.02313,0.05633,0.02772,0.02701
36,6.21471,1.71295,3.37707,1.18461,2.57147,0.95304,0.00658,0.37783,2.93290
37,0.00820,0.00556,8.53683,0.00315,1.77575,0.97638,0.01629,0.01747,0.00252
38,0.00829,6.48773,0.00646,0.00018,1.83099,0.00339,0.00180,0.98794,0.03727
39,0.00138,0.53096,0.33810,0.02794,0.00081,0.00123,0.00405,0.00472,0.00547
40,0.00601,0.00259,0.05789,0.00029,1.14392,0.00040,0.00379,0.96161,0.35958
41,0.00130,0.16293,0.34627,0.07716,2.57566,0.00141,0.00181,0.00115,0.00089
42,0.09789,0.06383,0.02421,0.14704,0.00156,0.34256,0.04200,0.14149,0.23951
43,0.00070,0.21244,0.08557,0.00149,5.29946,0.00762,0.01688,0.00098,1.08705
44,0.00272,0.37659,0.63923,0.00017,0.00049,0.00589,0.02606,0.04063,0.00035
45,0.01917,0.00753,1.49588,0.00234,3.30847,0.90599,0.01034,0.00515,0.01157
46,0.00555,0.52962,0.25801,0.14872,4.73625,0.00826,0.02147,0.00976,0.00793
47,0.02860,0.51213,0.17586,0.08657,0.01124,0.04031,0.03051,0.03435,0.03220
48,0.00128,0.74610,0.21252,0.07705,0.00055,0.00158,0.01331,0.00195,0.00203
49,0.00064,0.67130,0.41622,0.15793,1.73334,0.00166,0.01569,0.00033,0.00011
50,1.39211,1.14957,2.35144,1.11547,7.68823,0.99999,5.07732,3.64071,1.51155
51,0.00046,0.50143,0.05129,0.02779,3.87178,0.00325,0.00081,0.00092,0.00225
52,6.04672,5.24748,0.00359,1.06459,1.03792,0.00020,0.00636,0.99999,0.00022
53,1.05012,0.88096,0.12014,0.05023,8.00716,0.00060,0.00072,0.00052,0.00120
54,0.01292,0.35710,0.18670,0.06545,3.44351,0.02879,0.05585,0.02922,0.02603
55,0.00034,0.55164,0.21014,0.06295,5.25393,0.00035,0.00305,0.00023,0.00019
