id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.8210656907,0.3131075811,0.0930583500,0.1102068993,1.0000000000,0.9848457720,0.1058488949,0.9998046947,0.9999920715
2,0.9728783149,0.9915046158,0.9999169287,0.9992038281,1.0000000000,0.9895754128,0.8669674211,0.0000119446,0.9878730653
3,0.9979067725,0.9979417500,0.9999549367,0.3223650959,0.9999999999,0.0038612449,0.9960357836,0.9992703427,0.9997787115
4,0.2402727356,0.2980897698,0.4875297074,0.7003757172,0.7830372529,0.8858311144,0.4692892943,0.5954851200,0.2183884333
5,0.9990979755,0.2896062397,0.2820228618,0.4532127353,1.0000000000,0.9998508304,0.9242192086,0.9999703291,0.9999818675
6,0.9982368560,0.0207119556,0.3271680762,0.6123356234,0.9934006056,0.9970391121,0.8793253404,0.9807477469,0.9972170624
7,0.9999936068,0.0303838337,0.3518254200,0.7217593286,0.9999999995,0.9999990855,0.9999960277,0.9999924572,0.9999798444
8,0.9999999972,0.0809896075,0.6736147709,0.4418713383,1.0000000000,0.9999999999,0.9999997215,1.0000000000,1.0000000000
9,0.9995221721,0.3713880547,0.1443803436,0.5936765131,1.0000000000,0.9992571014,0.5785603704,0.9997927376,0.9999983663
10,0.9982531899,0.5495937653,0.4064402922,0.4994505473,0.9999005336,0.9991364319,0.9868322980,0.9986855098,0.9976239405
11,0.3520346710,0.9360552034,0.9920956300,0.9477635874,0.9999999993,0.1888239697,0.8320692659,0.9534619644,0.2765673082
12,0.6805610293,0.9980307643,0.9878666147,0.8988002702,1.0000000000,0.9422757938,0.9959585824,0.0009075134,0.8903895208
13,0.9845026186,0.1257023434,0.1416380620,0.8869277842,0.9970339776,0.9252535348,0.7895036067,0.7238671470,0.9969338060
14,0.7143090755,0.9951318910,0.9973939023,0.9999899743,1.0000000000,0.9602151832,0.1852923974,0.0010188049,0.9359346353
15,0.9987210776,0.9521756374,0.9317640024,0.9375416335,0.0000000000,0.9974176913,0.9963562426,0.9982208068,0.9989760950
16,0.9980848285,0.9962382995,0.9991721045,0.9217279986,1.0000000000,0.3463133116,0.0000226442,0.9997008482,0.9994824179
17,0.9911866012,0.9916827119,0.8283457855,0.9991213915,1.0000000000,0.0122739182,0.9597128547,0.9918301206,0.9673132622
18,0.9161962450,0.4838320994,0.4947584014,0.6128723125,0.9912282189,0.9552661776,0.9455952132,0.9825466763,0.8849638792
19,0.7653515241,0.2730361192,0.5164897137,0.7133505837,0.9970238252,0.9922425743,0.9518929515,0.8921756905,0.9255564815
20,0.9999986507,0.1210241101,0.1911730474,0.0955450097,1.0000000000,0.9999926483,0.9983891760,0.9999994872,0.9999999159
21,0.8230494133,0.9999970742,0.9999999995,0.9999879965,1.0000000000,0.0039841772,0.9959424927,0.9999907547,0.9852649057
22,0.5941781283,0.9992581697,0.9999992495,0.9989800942,1.0000000000,0.0001312045,0.6425789694,0.9981824122,0.9986137177
23,0.9995802531,0.1104777108,0.0465518967,0.9627365770,0.9818793095,0.9615201055,0.9594930188,0.8868809921,0.9999464629
24,0.9999106629,0.9999548577,0.9999442667,1.0000000000,1.0000000000,0.9994391065,0.5795216341,0.0000010501,0.9999999865
25,0.9719718867,0.9998250125,0.9999999887,0.9191473135,0.9999999998,0.0001462235,0.8453810097,0.9973920581,0.9990424455
26,0.9999996070,0.2939859408,0.2085447419,0.8006142336,1.0000000000,0.9999997402,0.9999990571,0.9999961364,0.9999977906
27,0.0355379469,0.8182906358,0.9854999547,0.9528662053,0.9999914877,0.7183779487,0.5807456248,0.3092050934,0.4078795507
28,0.4399592704,0.2011228156,0.4840467528,0.4174399269,0.7628155147,0.8487447041,0.5104615347,0.7165571548,0.5483202621
29,0.9902019924,0.9999675985,0.9972555373,0.9999999961,1.0000000000,0.9089335968,0.0000000019,0.9999312166,0.9999939273
30,0.9887192259,0.2150981029,0.2174435344,0.2749268860,0.9999654055,0.9912138188,0.8283192088,0.9844518325,0.9949366426
31,0.9061235773,0.9335025475,0.9407963896,0.9879938884,1.0000000000,0.0051511951,0.8322419375,0.9937568553,0.9480692004
32,0.9988284347,0.9665013485,0.8990714736,0.9999388406,1.0000000000,0.9983363604,0.0061275259,0.0006194350,0.9999410303
33,0.9818256382,0.9492806263,0.9729170362,0.9498331033,0.0000000000,0.9966477960,0.9918858556,0.9946961716,0.9857445283
34,0.9252480158,0.6745277772,0.8954311413,0.3329868561,0.3915764174,0.9336925553,0.8594183319,0.8718414176,0.8994439113
35,0.5676929886,0.1590692425,0.3485462110,0.2652371714,0.9978153572,0.9607317649,0.5467648893,0.9240320185,0.8877093332
36,0.9994566149,0.9999999961,0.9999995379,1.0000000000,1.0000000000,0.0065845850,0.8718616130,0.0012940773,0.9999909658
37,0.8282640162,0.9957538533,0.9999956833,0.9687527342,0.9999918454,0.0033048268,0.7702847012,0.9185454285,0.9902564370
38,0.6665794124,0.9998399163,0.9801281602,0.9992889103,1.0000000000,0.9850614968,0.9951000507,0.0010339368,0.6972546173
39,0.9870908702,0.2333708104,0.2431979312,0.7230196957,0.9897483300,0.9985717120,0.9606254810,0.9829035844,0.9815749580
40,0.9781299438,0.9959830415,0.8089131229,0.9951457058,0.9999999788,0.9992266251,0.9923319683,0.0051362560,0.1158865604
