Feature 1	Feature 2	Class 1
c	c	d
		class
0.444	0.840	v2
0.861	0.843	v2
0.481	0.891	v2
0.030	0.655	v2
0.584	0.350	v1
0.142	0.002	v2
0.353	0.338	v2
0.784	0.883	v2
0.822	0.816	v2
0.694	0.152	v1
0.510	0.931	v2
0.271	0.931	v1
0.948	0.529	v2
0.309	0.440	v2
0.965	0.894	v2
0.012	0.037	v2
0.889	0.730	v2
0.524	0.453	v1
0.577	0.573	v1
0.954	0.611	v2
0.197	0.660	v1
0.807	0.051	v1
0.853	0.344	v1
0.818	0.855	v2
0.001	0.546	v2
0.110	0.049	v2
0.289	0.334	v2
0.108	0.497	v2
0.033	0.704	v2
0.364	0.736	v1
0.379	0.630	v1
0.101	0.686	v1
0.644	0.983	v2
0.471	0.883	v2
0.210	0.928	v1
0.254	0.768	v1
0.883	0.888	v2
0.233	0.424	v2
0.777	0.369	v1
0.067	0.111	v2
0.896	0.609	v2
0.960	0.308	v2
0.208	0.753	v1
0.367	0.585	v1
0.203	0.593	v1
0.776	0.388	v1
0.064	0.676	v2
0.679	0.778	v2
0.792	0.374	v1
0.494	0.761	v2
