Feature 1	Feature 2	Class 1
c	c	d
		class
0.882	0.319	v1
0.852	0.255	v1
0.768	0.775	v2
0.919	0.901	v2
0.288	0.638	v1
0.775	0.412	v1
0.000	0.551	v2
0.530	0.271	v1
0.188	0.147	v2
0.637	0.915	v2
0.350	0.589	v1
0.853	0.268	v1
0.853	0.031	v1
0.907	0.319	v1
0.696	0.832	v2
0.730	0.641	v2
0.789	0.875	v2
0.416	0.296	v2
0.951	0.368	v2
0.905	0.647	v2
0.926	0.060	v1
0.625	0.707	v2
0.980	0.945	v2
0.646	0.978	v2
0.317	0.130	v2
0.525	0.944	v2
0.938	0.871	v2
0.319	0.744	v1
0.186	0.821	v1
0.877	0.692	v2
0.785	0.312	v1
0.883	0.220	v1
0.171	0.174	v2
0.812	0.205	v1
0.193	0.134	v2
0.588	0.226	v1
0.725	0.493	v1
0.839	0.447	v2
0.652	0.151	v1
0.396	0.689	v1
0.303	0.378	v2
0.675	0.815	v2
0.138	0.734	v1
0.640	0.046	v2
0.645	0.391	v1
0.184	0.576	v1
0.075	0.288	v2
0.464	0.068	v2
0.264	0.147	v2
0.707	0.587	v2
